City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Geraldton,AU,97.21,overcast clouds,-28.7667,114.6,Broadwater Mariner Resort
1,Aklavik,CA,0.32,snow,68.2191,-135.0107,Aklavik Inn
2,Bethel,US,41.99,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
3,Port Alfred,ZA,70.52,overcast clouds,-33.5906,26.891,The Halyards Hotel
4,Waddan,LY,56.55,overcast clouds,29.1614,16.139,محل الشريف محمد العايب
5,Atuona,PF,78.64,broken clouds,-9.8,-139.0333,Villa Enata
6,Ajdabiya,LY,54.61,broken clouds,30.7554,20.2263,Almadina Hotel
7,New Norfolk,AU,64.71,few clouds,-42.7826,147.0587,The Shingles Riverside Cottages
8,Castro,BR,65.93,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
10,Cape Town,ZA,63.01,broken clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
11,Kirakira,SB,85.1,overcast clouds,-10.4544,161.9205,SanBiz Lodge
12,Ushuaia,AR,53.26,few clouds,-54.8,-68.3,Albatros Hotel
13,Busselton,AU,83.05,overcast clouds,-33.65,115.3333,Observatory Guest House
14,Rikitea,PF,74.86,light rain,-23.1203,-134.9692,People ThankYou
15,Victoria,HK,50.38,overcast clouds,22.2855,114.1577,Mini Hotel Central
16,Vaini,TO,84.36,volcanic ash,-21.2,-175.2,Keleti Beach Resort
17,Qena,EG,51.94,scattered clouds,26.1615,32.7183,"Grand hotel ""Quena"""
18,Nemencine,LT,20.34,broken clouds,54.85,25.4833,"DREAM, cafe-motel, UAB Nedmara"
20,Coos Bay,US,39.92,mist,43.3665,-124.2179,Best Western Holiday Hotel
21,Lexington,US,50.99,clear sky,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
25,Mataura,NZ,59.49,overcast clouds,-46.1927,168.8643,Ellie's Villa
26,Sinnamary,GF,78.17,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
27,San Patricio,US,76.98,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
28,Butaritari,KI,82.35,broken clouds,3.0707,172.7902,Isles Sunset Lodge
29,Pangnirtung,CA,2.71,few clouds,66.1451,-65.7125,Kilabuk Lodge
30,Hermanus,ZA,68.81,clear sky,-34.4187,19.2345,Misty Waves Boutique Hotel
31,Puerto Ayora,EC,70.32,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
32,Mar Del Plata,AR,64.09,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
33,Caransebes,RO,44.15,light rain,45.4167,22.2167,Kolpinghaus
