City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Port Blair,11.6667,92.75,76.82,79,3,4.97,IN,2021-12-21 19:29:34
1,Verkhoyansk,67.5447,133.385,-36.92,92,100,2.91,RU,2021-12-21 19:29:35
2,Pisco,-13.7,-76.2167,75.25,64,0,13.8,PE,2021-12-21 19:29:35
3,Tiksi,71.6872,128.8694,-14.69,98,100,8.9,RU,2021-12-21 19:29:36
4,Grand Gaube,-20.0064,57.6608,79.2,91,100,5.99,MU,2021-12-21 19:24:45
5,Dekar,-21.5333,21.9333,79.27,47,100,6.24,BW,2021-12-21 19:29:36
6,Apastovo,55.2029,48.5109,10.71,97,26,5.75,RU,2021-12-21 19:29:37
7,Esperance,-33.8667,121.9,60.64,83,89,9.42,AU,2021-12-21 19:29:37
8,Busselton,-33.65,115.3333,59.04,88,0,13.35,AU,2021-12-21 19:29:37
9,Victoria,22.2855,114.1577,64.33,83,84,5.01,HK,2021-12-21 19:25:57
10,Mugumu,-1.85,34.7,64.51,76,100,3.09,TZ,2021-12-21 19:29:38
11,Nanortalik,60.1432,-45.2371,40.78,80,100,22.35,GL,2021-12-21 19:29:38
12,Lakshmipur,22.95,90.8333,62.85,62,0,3.27,BD,2021-12-21 19:29:39
13,Mataura,-46.1927,168.8643,58.48,61,37,7.99,NZ,2021-12-21 19:29:39
14,Kysyl-Syr,63.8986,122.7617,-50.73,100,99,0.81,RU,2021-12-21 19:29:39
15,Butaritari,3.0707,172.7902,81.05,71,100,6.87,KI,2021-12-21 19:29:40
16,Bondo,3.8146,23.6866,79.2,45,98,2.73,CD,2021-12-21 19:29:40
17,Jamestown,42.097,-79.2353,40.59,54,20,8.99,US,2021-12-21 19:29:41
18,Atuona,-9.8,-139.0333,78.62,73,100,17.76,PF,2021-12-21 19:29:41
19,Hobart,-42.8794,147.3294,54.27,54,75,10.36,AU,2021-12-21 19:29:41
20,Conde,-7.2597,-34.9075,83.66,74,75,10.36,BR,2021-12-21 19:29:42
21,Rikitea,-23.1203,-134.9692,71.82,91,100,11.07,PF,2021-12-21 19:29:42
22,Hermanus,-34.4187,19.2345,68.81,77,10,11.12,ZA,2021-12-21 19:29:43
23,Ponta Do Sol,32.6667,-17.1,66.7,83,99,10.09,PT,2021-12-21 19:29:43
24,Ushuaia,-54.8,-68.3,60.42,62,40,37.98,AR,2021-12-21 19:27:40
25,Trinidad,-14.8333,-64.9,78.78,94,75,5.75,BO,2021-12-21 19:29:43
26,Cabo San Lucas,22.8909,-109.9124,80.62,57,1,5.01,MX,2021-12-21 19:28:06
27,Lyuban,52.7985,28.0048,14.86,82,6,5.32,BY,2021-12-21 19:29:44
28,Lavrentiya,65.5833,-171.0,-7.02,82,6,6.15,RU,2021-12-21 19:29:44
29,Coahuayana,18.7333,-103.6833,88.32,43,13,7.23,MX,2021-12-21 19:29:45
